state,yearOfLoss,floodEvent,event_type,state,yearOfLoss,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,totalPaid,precip_mm,wind_max_m_s,temp_mean_c
TX,2017,Hurricane Harvey,Hurricane,TX,2017,50000.0,20000.0,70000.0,115.4,53.5,26.819726027397266
VA,2003,Hurricane Isabel,Hurricane,VA,2003,12843.93,4428.58,17272.510000000002,59.8,43.1,18.522191780821892
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
LA,1995,Flooding,Flood,LA,1995,206.05,0.0,206.05,70.1,33.8,24.724109589041113
LA,2005,Hurricane Katrina,Hurricane,LA,2005,70000.0,0.0,70000.0,63.7,47.6,25.748767123287685
LA,1985,Hurricane Juan,Hurricane,LA,1985,23205.13,0.0,23205.13,55.6,40.5,24.450410958904115
LA,2005,Hurricane Katrina,Hurricane,LA,2005,40216.82,0.0,40216.82,63.7,47.6,25.748767123287685
FL,2022,Hurricane Ian,Hurricane,FL,2022,298267.4,91996.93,390264.33,208.8,76.6,28.4682191780822
WI,1998,Flooding,Flood,WI,1998,687.89,0.0,687.89,59.5,50.3,14.133150684931515
FL,2022,Hurricane Ian,Hurricane,FL,2022,0.0,0.0,0.0,208.8,76.6,28.4682191780822
IL,1987,Flooding,Flood,IL,1987,0.0,0.0,0.0,40.3,46.8,17.158630136986297
LA,2005,Hurricane Katrina,Hurricane,LA,2005,500000.0,200000.0,700000.0,63.7,47.6,25.748767123287685
FL,1993,Blizzard of 1993,Blizzard,FL,1993,0.0,0.0,0.0,61.0,45.9,27.21424657534248
TX,2017,Hurricane Harvey,Hurricane,TX,2017,28348.37,19022.73,47371.1,115.4,53.5,26.819726027397266
FL,2022,Hurricane Ian,Hurricane,FL,2022,492371.42,0.0,492371.42,208.8,76.6,28.4682191780822
LA,2005,Hurricane Katrina,Hurricane,LA,2005,15255.59,1027.55,16283.14,63.7,47.6,25.748767123287685
LA,1980,Flooding,Flood,LA,1980,184.0,0.0,184.0,116.8,32.4,24.40846994535519
LA,2005,Hurricane Katrina,Hurricane,LA,2005,80000.0,29095.58,109095.58,63.7,47.6,25.748767123287685
FL,2022,Hurricane Nicole,Hurricane,FL,2022,36956.68,138.88,37095.56,208.8,76.6,28.4682191780822
NY,2023,Late-September New York Flooding,Flood,NY,2023,0.0,0.0,0.0,43.0,32.8,14.633972602739725
MS,2005,Hurricane Katrina,Hurricane,MS,2005,133900.0,70200.0,204100.0,82.8,59.6,24.039999999999996
TX,1979,Flooding,Flood,TX,1979,2166.2,181.75,2347.95,40.6,42.0,24.003287671232854
LA,1983,Flooding,Flood,LA,1983,17665.19,0.0,17665.19,107.7,36.1,23.015890410958903
TX,2008,Hurricane Ike,Hurricane,TX,2008,1163.2,339.98,1503.18,41.7,42.5,26.64180327868851
NY,2012,Hurricane Sandy,Hurricane,NY,2012,2716.32,0.0,2716.32,48.8,39.7,14.591530054644808
SC,1989,Hurricane Hugo,Hurricane,SC,1989,0.0,0.0,0.0,78.5,70.7,23.115616438356138
TX,2017,Hurricane Harvey,Hurricane,TX,2017,250000.0,100000.0,350000.0,115.4,53.5,26.819726027397266
TX,2005,Hurricane Rita,Hurricane,TX,2005,41560.88,20737.0,62297.88,29.2,40.2,26.39205479452055
LA,2005,Hurricane Katrina,Hurricane,LA,2005,106400.0,25600.0,132000.0,63.7,47.6,25.748767123287685
FL,2022,Hurricane Ian,Hurricane,FL,2022,0.0,0.0,0.0,208.8,76.6,28.4682191780822
VA,2003,Hurricane Isabel,Hurricane,VA,2003,17002.04,3388.43,20390.47,59.8,43.1,18.522191780821892
LA,2012,Hurricane Isaac,Hurricane,LA,2012,20103.67,820.99,20924.66,75.6,47.8,25.857923497267745
MO,1994,Flooding,Flood,MO,1994,5297.29,0.0,5297.29,64.4,29.8,19.316712328767114
TX,2015,Tropical Storm Bill,Storm,TX,2015,33216.01,0.0,33216.01,169.3,37.4,25.443287671232884
NY,2012,Hurricane Sandy,Hurricane,NY,2012,70925.78,13976.31,84902.09,48.8,39.7,14.591530054644808
FL,2022,Hurricane Ian,Hurricane,FL,2022,0.0,0.0,0.0,208.8,76.6,28.4682191780822
LA,2005,Hurricane Rita,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
LA,1983,Flooding,Flood,LA,1983,3605.79,0.0,3605.79,107.7,36.1,23.015890410958903
PR,1979,Hurricanes David & Frederic,Hurricane,PR,1979,0.0,3760.0,3760.0,120.6,42.8,24.350136986301372
AL,2005,Hurricane Katrina,Hurricane,AL,2005,140000.0,30000.0,170000.0,57.2,45.7,23.200000000000014
TX,1979,Tropical Storm Claudette,Storm,TX,1979,1507.94,0.0,1507.94,40.6,42.0,24.003287671232854
LA,2017,Greater New Orleans Flooding,Flood,LA,2017,21560.84,0.0,21560.84,59.6,34.5,25.363561643835588
TX,2002,Flooding,Flood,TX,2002,50763.87,14690.1,65453.97,61.9,37.7,24.799999999999994
KY,1997,Flooding,Flood,KY,1997,0.0,0.0,0.0,66.9,38.0,17.71890410958903
FL,2024,Hurricane Helene,Hurricane,FL,2024,0.0,0.0,0.0,45.2,63.6,28.001912568306004
LA,1992,Hurricane Andrew,Hurricane,LA,1992,3125.5,0.0,3125.5,65.7,43.1,24.035245901639342
VA,2003,Hurricane Isabel,Hurricane,VA,2003,24402.34,0.0,24402.34,59.8,43.1,18.522191780821892
WA,2006,Torrential rain,Heavy Rain,WA,2006,16481.76,0.0,16481.76,129.5,25.6,11.200273972602742
ME,1987,Flooding,Flood,ME,1987,0.0,0.0,0.0,37.4,34.2,11.412328767123284
TX,2001,Tropical Storm Allison,Storm,TX,2001,47838.08,18000.0,65838.08,60.6,40.8,24.620273972602728
PA,1985,Flooding,Flood,PA,1985,578.89,0.0,578.89,79.0,37.8,15.748219178082193
NY,1992,December Storm - Nor'easter,Storm,NY,1992,0.0,0.0,0.0,29.7,35.3,11.993989071038252
FL,1998,Hurricane Georges (Keys),Hurricane,FL,1998,0.0,0.0,0.0,93.1,37.8,27.581095890410953
NC,2011,Hurricane Irene,Hurricane,NC,2011,2775.48,0.0,2775.48,39.3,35.9,21.831232876712335
NC,1999,Hurricane Floyd,Hurricane,NC,1999,0.0,0.0,0.0,68.1,36.8,20.717534246575365
CA,1983,Flooding,Flood,CA,1983,0.0,0.0,0.0,27.9,30.9,25.613972602739732
NJ,2007,Nor'easter,Storm,NJ,2007,8403.45,765.64,9169.09,0.0,0.0,0.0
NY,2010,Nor'easter,Storm,NY,2010,1562.13,0.0,1562.13,65.8,37.3,13.142191780821914
CA,1998,Pineapple Express - Southern,Other,CA,1998,4160.1,0.0,4160.1,40.6,31.1,23.838082191780835
CT,2011,Hurricane Irene,Hurricane,CT,2011,46777.01,0.0,46777.01,90.7,44.0,16.041095890410965
MO,1993,Midwest Flooding,Flood,MO,1993,11000.0,5300.0,16300.0,85.7,29.8,17.577534246575347
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,44195.04,501.5,44696.54,0.0,0.0,0.0
LA,1980,Flooding,Flood,LA,1980,902.79,0.0,902.79,116.8,32.4,24.40846994535519
TX,2017,Hurricane Harvey,Hurricane,TX,2017,79362.05,32144.46,111506.51000000001,115.4,53.5,26.819726027397266
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
FL,2017,Hurricane Irma,Hurricane,FL,2017,120094.07,0.0,120094.07,75.8,73.1,27.927123287671268
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,22121.75,0.0,22121.75,0.0,0.0,0.0
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
FL,2024,Hurricane Milton,Hurricane,FL,2024,180429.56,0.0,180429.56,45.2,63.6,28.001912568306004
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,1000.0,1000.0,63.7,47.6,25.748767123287685
MS,2005,Hurricane Katrina,Hurricane,MS,2005,18200.0,16600.0,34800.0,82.8,59.6,24.039999999999996
MO,1984,Flooding,Flood,MO,1984,0.0,195.0,195.0,63.1,33.8,18.54344262295081
TX,2008,Hurricane Dolly,Hurricane,TX,2008,2199.21,0.0,2199.21,41.7,42.5,26.64180327868851
FL,1999,Hurricane Irene,Hurricane,FL,1999,0.0,0.0,0.0,110.3,35.5,27.3413698630137
RI,2010,Nor'easter,Storm,RI,2010,8912.78,0.0,8912.78,76.6,52.0,15.528767123287672
WV,1997,Flooding,Flood,WV,1997,0.0,0.0,0.0,28.8,36.9,15.007671232876703
NY,2012,Hurricane Sandy,Hurricane,NY,2012,74547.24,38873.19,113420.43000000001,48.8,39.7,14.591530054644808
FL,1981,Flooding,Flood,FL,1981,2040.62,0.0,2040.62,31.3,34.5,27.628219178082166
